data,liczba_wzmianek,sredni_tone
2015-10-31,73.0,-0.18406220514391275
2015-11-01,56.0,-0.5917929970487743
2015-11-02,137.0,-0.6056804325797877
2015-11-03,188.0,-1.554745679256722
2015-11-04,215.0,-0.5755914590895773
2015-11-05,195.0,-0.93763522722676
2015-11-06,176.0,-1.6235091489208424
2015-11-07,81.0,-1.3714138119779578
2015-11-08,78.0,-1.5780984175402581
2015-11-09,162.0,-0.8216289788971937
2015-11-10,278.0,-4.203468381657766
2015-11-11,227.0,-3.4613797988456603
2015-11-12,139.0,-0.7140459744198836
2015-11-13,171.0,-1.3104802101914008
2015-11-14,89.0,-0.2264993003902404
2015-11-15,44.0,-0.8750728043604249
2015-11-16,111.0,-0.9832251342515387
2015-11-17,107.0,-0.5058008008602309
2015-11-18,133.0,-1.2384464370750372
2015-11-19,137.0,-1.0607656204022455
2015-11-20,145.0,-0.6608269965122794
2015-11-21,70.0,-0.830348506737938
2015-11-22,52.0,-0.7418457303507726
2015-11-23,113.0,-0.15814361233327415
2015-11-24,160.0,-0.35426216460740567
2015-11-25,114.0,-0.5033097428016041
2015-11-26,114.0,-0.5875449584126993
2015-11-27,94.0,-0.5377457242730992
2015-11-28,45.0,0.11571318340257862
2015-11-29,42.0,-0.6614068802913075
2015-11-30,140.0,-1.3362379676879574
2015-12-01,183.0,-1.8474431686132917
2015-12-02,145.0,-1.082079055687507
2015-12-03,114.0,-0.14099682491296517
2015-12-04,134.0,-0.11301139547218711
2015-12-05,55.0,-1.311383554961769
2015-12-06,44.0,-1.1147008723638032
2015-12-07,137.0,-1.6534273860532485
2015-12-08,215.0,-3.2693161699168347
2015-12-09,640.0,-1.6121575958170908
2015-12-10,269.0,-1.2051711766053266
2015-12-11,0.0,
2015-12-12,85.0,-0.13278783457315999
2015-12-13,48.0,-0.3995076494785139
2015-12-14,118.0,-0.4375856816072365
2015-12-15,139.0,-0.7086904621524932
2015-12-16,133.0,-0.46555253695134147
2015-12-17,156.0,-0.3969399590270751
2015-12-18,112.0,-0.5382048593303544
2015-12-19,67.0,0.37084025293724304
2015-12-20,43.0,-0.2937896747264647
2015-12-21,186.0,0.425799573177361
2015-12-22,234.0,-0.6719530043392599
2015-12-23,238.0,-0.23792877787973168
2015-12-24,194.0,-0.3168622205178917
2015-12-25,90.0,0.15320489357391934
2015-12-26,58.0,-0.8406429027884331
2015-12-27,74.0,-1.2119671167114099
2015-12-28,184.0,-0.4947025420656167
2015-12-29,186.0,-0.551584950740637
2015-12-30,222.0,-0.20860597567005457
2015-12-31,162.0,-0.7058822272072649
2016-01-01,70.0,-0.7235896113255221
2016-01-02,84.0,-0.1810173550149727
2016-01-03,70.0,-0.3982823679539909
2016-01-04,196.0,0.30462446103171953
2016-01-05,142.0,-0.05764792680285102
2016-01-06,268.0,-0.23292603094067305
2016-01-07,218.0,-1.0498470636023272
2016-01-08,272.0,-1.3969393841921574
2016-01-09,66.0,-1.1434025432810027
2016-01-10,80.0,-0.27548967176025263
2016-01-11,294.0,-0.9830345271936245
2016-01-12,354.0,-1.488502164626263
2016-01-13,296.0,-0.9844430231833324
2016-01-14,362.0,-0.6131045226158268
2016-01-15,308.0,-2.3870603922425477
2016-01-16,118.0,-1.7223624311615517
2016-01-17,114.0,-1.3844771570738497
2016-01-18,212.0,-1.0775102625374156
2016-01-19,276.0,-0.2927398335554864
2016-01-20,368.0,-0.8621708938140421
2016-01-21,314.0,-0.622136749646923
2016-01-22,324.0,-0.05442378516859256
2016-01-23,108.0,-0.6718106592058606
2016-01-24,102.0,-1.1989606693307813
2016-01-25,286.0,0.3686233870704316
2016-01-26,222.0,0.07680804570111721
2016-01-27,216.0,-1.1496751616799559
2016-01-28,312.0,-0.6054562616914936
2016-01-29,226.0,-0.0380413114714162
2016-01-30,84.0,-1.106545101029317
2016-01-31,86.0,-1.3048217351655635
2016-02-01,266.0,-1.2190497515298155
2016-02-02,398.0,-1.9049683843000806
2016-02-03,266.0,-0.5107573826693089
2016-02-04,270.0,-0.9075795376009368
2016-02-05,210.0,-0.11503421620018764
2016-02-06,74.0,-0.788223867275744
2016-02-07,96.0,-0.005596824700623652
2016-02-08,196.0,0.2718130579634501
2016-02-09,258.0,-0.21635635726150068
2016-02-10,212.0,-0.39974549126758313
2016-02-11,206.0,-0.1051881357005084
2016-02-12,224.0,-0.7967981256400785
2016-02-13,62.0,-1.0210972698522003
2016-02-14,70.0,-1.471301987077997
2016-02-15,192.0,-0.9828591510973897
2016-02-16,338.0,-0.1778345005607295
2016-02-17,412.0,-0.693633903351163
2016-02-18,922.0,-2.9513412385410454
2016-02-19,492.0,-1.8690795403789349
2016-05-02,4182.0,-0.8886786722768617
2016-05-03,2496.0,-0.8777305282166273
2016-05-04,1185.0,-0.8073210310887362
2016-05-05,1503.0,-0.7274532807163284
2016-05-06,1242.0,-0.7221964460408415
2016-05-07,570.0,-2.3566917482295984
2016-05-08,384.0,-0.8310774630007994
2016-05-09,615.0,-1.2806683337099993
2016-05-10,609.0,0.06852738191583238
2016-05-11,639.0,0.6675279079227191
2016-05-12,507.0,0.32801985093160474
2016-05-13,447.0,-0.5800436256107918
2016-05-14,216.0,-0.39194718698626374
2016-05-15,165.0,-0.23866255471467776
2016-05-16,318.0,-0.17719221460708615
2016-05-17,522.0,0.40296749917528923
2016-05-18,864.0,-0.889711299615483
2016-05-19,612.0,-0.9597328301058808
2016-05-20,525.0,-0.8970052942962223
2016-05-21,216.0,0.2637546342172602
2016-05-22,213.0,-0.39629554739488493
2016-05-23,450.0,-0.13745079875749686
2016-05-24,537.0,-0.5562428193717419
2016-05-25,558.0,-0.6163376713111087
2016-05-26,558.0,-1.355401946451292
2016-05-27,477.0,-0.8665526857351937
2016-05-28,171.0,-0.34197024396970466
2016-05-29,318.0,-0.1833242701164723
2016-05-30,864.0,-0.830927547164432
2016-05-31,1047.0,-1.4340039462627674
2016-06-01,741.0,-1.554339057381254
2016-06-02,501.0,-1.5680805167545402
2016-06-03,444.0,-1.0840511335223273
2016-06-04,276.0,-1.6141575354909354
2016-06-05,198.0,-0.2401956413566593
2016-06-06,858.0,-2.382018598571982
2016-06-07,681.0,-1.2080808195099304
2016-06-08,540.0,-0.8889162913946349
2016-06-09,762.0,-1.9227807001179156
2016-06-10,669.0,-2.8808002603022254
2016-06-11,174.0,-0.8195254156433985
2016-06-12,132.0,-0.8215313551067105
2016-06-13,756.0,-0.5367290801790726
